Jul.Day YYYY/MM/DD Wdy USD/CAD USD/EUR USD/GBP USD/AUD USD/NZD USD/CHF
2454834 2009/01/02 Fri 0.82597 1.3945 1.4521 0.70827 0.58479 0.93582
2454837 2009/01/05 Mon 0.83935 1.3576 1.4604 0.71479 0.58738 0.90264
2454838 2009/01/06 Tue 0.84581 1.3443 1.4777 0.71885 0.59427 0.89174
2454839 2009/01/07 Wed 0.84367 1.3717 1.5252 0.72117 0.60027 0.91369
2454840 2009/01/08 Thu 0.84118 1.3712 1.5188 0.70693 0.59253 0.91521
2454841 2009/01/09 Fri 0.83871 1.3493 1.5236 0.70603 0.59314 0.90112
2454844 2009/01/12 Mon 0.82802 1.3347 1.4825 0.68121 0.57837 0.89766
2454845 2009/01/13 Tue 0.81586 1.3196 1.4523 0.66721 0.55201 0.89182
2454846 2009/01/14 Wed 0.80756 1.3174 1.4614 0.66397 0.54284 0.89453
2454847 2009/01/15 Thu 0.79208 1.3093 1.4599 0.65576 0.53069 0.89014
2454848 2009/01/16 Fri 0.79732 1.3241 1.4735 0.66560 0.54138 0.89451
2454851 2009/01/19 Mon 0.79866 1.3149 1.4517 0.66976 0.54452 0.88483
2454852 2009/01/20 Tue 0.79334 1.2945 1.4022 0.65712 0.52717 0.87457
2454853 2009/01/21 Wed 0.78487 1.2868 1.3726 0.64917 0.52123 0.87136
2454854 2009/01/22 Thu 0.79177 1.2954 1.3839 0.65376 0.52637 0.86659
2454855 2009/01/23 Fri 0.80128 1.2850 1.3648 0.65176 0.52668 0.85986
2454858 2009/01/26 Mon 0.81934 1.3154 1.3958 0.66096 0.53027 0.87415
2454859 2009/01/27 Tue 0.81307 1.3157 1.4146 0.66013 0.52809 0.87796
2454860 2009/01/28 Wed 0.82658 1.3243 1.4315 0.66978 0.53439 0.87395
2454861 2009/01/29 Thu 0.82048 1.2987 1.4260 0.65482 0.51584 0.86930
2454862 2009/01/30 Fri 0.80880 1.2803 1.4411 0.63774 0.50825 0.86081
2454865 2009/02/02 Mon 0.80619 1.2806 1.4226 0.63189 0.50218 0.85900
2454866 2009/02/03 Tue 0.81057 1.3009 1.4390 0.64732 0.51107 0.87566
2454867 2009/02/04 Wed 0.81526 1.2856 1.4471 0.64984 0.51158 0.86344
2454868 2009/02/05 Thu 0.81281 1.2837 1.4629 0.65374 0.51532 0.85784
2454869 2009/02/06 Fri 0.80717 1.2873 1.4774 0.67124 0.52983 0.85503
2454872 2009/02/09 Mon 0.82021 1.3063 1.4933 0.68316 0.54413 0.86442
2454873 2009/02/10 Tue 0.81090 1.2965 1.4603 0.65877 0.52822 0.86677
2454874 2009/02/11 Wed 0.80489 1.2893 1.4365 0.65462 0.52576 0.86204
2454875 2009/02/12 Thu 0.80148 1.2821 1.4246 0.65048 0.51992 0.85926
2454876 2009/02/13 Fri 0.80431 1.2877 1.4421 0.65921 0.52626 0.86327
2454879 2009/02/16 Mon 0.80405 1.2769 1.4267 0.64839 0.51668 0.85993
2454880 2009/02/17 Tue 0.79359 1.2569 1.4223 0.63844 0.51067 0.85128
2454881 2009/02/18 Wed 0.79390 1.2547 1.4232 0.63822 0.51056 0.84638
2454882 2009/02/19 Thu 0.79397 1.2674 1.4310 0.64494 0.51187 0.85153
2454883 2009/02/20 Fri 0.79739 1.2689 1.4331 0.64182 0.50690 0.85599
2454886 2009/02/23 Mon 0.79923 1.2745 1.4549 0.64538 0.50991 0.85958
2454887 2009/02/24 Tue 0.80192 1.2741 1.4407 0.64283 0.50938 0.85662
2454888 2009/02/25 Wed 0.79643 1.2730 1.4263 0.64742 0.51123 0.85855
2454889 2009/02/26 Thu 0.80283 1.2764 1.4339 0.65342 0.51092 0.85846
2454890 2009/02/27 Fri 0.78697 1.2661 1.4277 0.64193 0.50264 0.85669
2454893 2009/03/02 Mon 0.77580 1.2579 1.3987 0.62994 0.49247 0.85283
2454894 2009/03/03 Tue 0.77292 1.2548 1.4029 0.63851 0.49513 0.85060
2454895 2009/03/04 Wed 0.78339 1.2606 1.4141 0.64975 0.50584 0.85006
2454896 2009/03/05 Thu 0.77658 1.2565 1.4121 0.64083 0.50144 0.85260
2454897 2009/03/06 Fri 0.77742 1.2672 1.4107 0.64052 0.50377 0.86753
